0.5495,2.7473,2.1978,2.7473,2.7473,2.1978,2.1978,2.7473,3.8462,3.8462,3.8462,3.2967,1.6484,3.2967,3.2967,3.2967,4.3956,2.1978
4.9451,3.8462,1.0989,1.6484,4.3956,1.6484,3.2967,3.8462,2.1978,26.3736,32.4176,29.6703,32.967,24.7253,2.7473,3.2967,2.1978,1.6484
10.4396,3.2967,2.7473,3.2967,3.8462,2.7473,4.3956,12.6374,43.4066,42.8571,37.9121,24.7253,45.6044,15.3846,22.5275,4.3956,3.2967,4.3956
3.2967,4.3956,2.1978,5.4945,3.2967,14.2857,31.3187,51.6484,45.6044,40.1099,30.2198,28.5714,48.9011,14.2857,16.4835,8.7912,4.9451,4.3956
2.7473,3.2967,2.7473,1.6484,13.7363,38.4615,33.5165,24.1758,40.6593,29.1209,19.7802,32.967,41.2088,41.2088,9.8901,15.9341,8.2418,4.9451
4.3956,1.6484,2.7473,4.9451,35.1648,35.1648,27.4725,34.0659,25.8242,31.3187,31.8681,30.2198,31.3187,39.011,18.1319,19.2308,4.9451,3.8462
1.0989,1.0989,2.7473,4.9451,41.2088,43.956,26.3736,21.978,20.3297,16.4835,17.5824,36.2637,29.6703,30.2198,17.033,19.7802,6.044,3.8462
3.2967,2.7473,2.7473,39.5604,42.3077,28.5714,24.1758,19.7802,23.6264,28.5714,32.4176,30.7692,34.0659,30.7692,16.4835,19.7802,4.3956,4.3956
2.7473,2.7473,8.2418,39.011,39.011,19.7802,26.3736,38.4615,25.2747,13.7363,31.8681,20.8791,29.1209,26.3736,18.1319,24.7253,5.4945,5.4945
0.5495,2.7473,9.3407,39.011,48.9011,17.033,18.1319,23.6264,47.2527,30.7692,30.7692,34.0659,39.5604,20.3297,39.5604,8.7912,3.8462,3.8462
2.1978,3.2967,1.6484,25.8242,37.9121,25.2747,22.5275,31.3187,35.7143,23.6264,41.7582,36.8132,28.022,32.4176,35.7143,7.6923,5.4945,5.4945
2.1978,2.1978,0.5495,5.4945,24.1758,36.8132,31.3187,16.4835,35.7143,40.6593,28.5714,30.7692,20.3297,37.9121,10.989,3.8462,5.4945,3.2967
1.0989,1.0989,2.1978,1.6484,4.3956,16.4835,18.1319,24.1758,25.2747,39.011,18.6813,38.4615,39.5604,15.9341,1.6484,8.2418,6.044,3.8462
0.5495,0.5495,2.7473,2.7473,3.8462,1.6484,2.1978,7.1429,20.8791,21.978,23.6264,23.0769,3.8462,3.2967,2.7473,1.0989,4.3956,3.2967
